2025-08-19 11:37:12 [background-preinit] INFO  : HV000001: Hibernate Validator 8.0.1.Final
2025-08-19 11:37:12 [main] INFO  : Starting NexoraBackendApplicationTests using Java 17.0.12 with PID 19036 (started by HABAREK in C:\Users\HABAREK\Documents\nexora_crypto_app\nexora-crypto-api)
2025-08-19 11:37:12 [main] INFO  : The following 1 profile is active: "test"
2025-08-19 11:37:13 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-08-19 11:37:13 [main] INFO  : Finished Spring Data repository scanning in 70 ms. Found 4 JPA repository interfaces.
2025-08-19 11:37:14 [main] INFO  : HikariPool-1 - Starting...
2025-08-19 11:37:14 [main] INFO  : HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2025-08-19 11:37:14 [main] INFO  : HikariPool-1 - Start completed.
2025-08-19 11:37:14 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-08-19 11:37:14 [main] INFO  : HHH000412: Hibernate ORM core version 6.4.4.Final
2025-08-19 11:37:14 [main] INFO  : HHH000026: Second-level cache disabled
2025-08-19 11:37:14 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2025-08-19 11:37:15 [main] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-08-19 11:37:15 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-08-19 11:37:16 [main] INFO  : Hibernate is in classpath; If applicable, HQL parser will be used.
2025-08-19 11:37:16 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-08-19 11:37:17 [main] INFO  : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@145bcb73, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6716d0e1, org.springframework.security.web.context.SecurityContextHolderFilter@5927fc8e, org.springframework.security.web.header.HeaderWriterFilter@74b1b98c, org.springframework.web.filter.CorsFilter@4a04177e, org.springframework.security.web.authentication.logout.LogoutFilter@5fe9851f, com.nexora.nexora_crypto_api.service.JwtAuthenticationFilter@2627da4c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@268c4507, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@669bb57, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@70385eb1, org.springframework.security.web.session.SessionManagementFilter@1000fbae, org.springframework.security.web.access.intercept.AuthorizationFilter@4907472e]
2025-08-19 11:37:17 [main] INFO  : Started NexoraBackendApplicationTests in 5.815 seconds (process running for 7.281)
2025-08-19 11:37:18 [main] INFO  : Could not detect default configuration classes for test class [com.nexora.nexora_crypto_api.repository.UserRepositoryTest]: UserRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-08-19 11:37:18 [main] INFO  : Found @SpringBootConfiguration com.nexora.nexora_crypto_api.NexoraBackendApplication for test class com.nexora.nexora_crypto_api.repository.UserRepositoryTest
2025-08-19 11:37:18 [main] INFO  : Could not detect default configuration classes for test class [com.nexora.nexora_crypto_api.service.impl.BuyCryptoCommandTest]: BuyCryptoCommandTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-08-19 11:37:18 [main] INFO  : Found @SpringBootConfiguration com.nexora.nexora_crypto_api.NexoraBackendApplication for test class com.nexora.nexora_crypto_api.service.impl.BuyCryptoCommandTest
2025-08-19 11:37:18 [main] INFO  : Could not detect default configuration classes for test class [com.nexora.nexora_crypto_api.service.impl.UserServiceImplTest]: UserServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-08-19 11:37:18 [main] INFO  : Found @SpringBootConfiguration com.nexora.nexora_crypto_api.NexoraBackendApplication for test class com.nexora.nexora_crypto_api.service.impl.UserServiceImplTest
2025-08-19 11:37:18 [SpringApplicationShutdownHook] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2025-08-19 11:37:18 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown initiated...
2025-08-19 11:37:18 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown completed.
